0x0019e3b7	DSOUND__DSound_CRefCount_AddRef
0x0019e3c4	DSOUND__DSound_CRefCount_Release
0x0019e438	DSOUND__DirectSoundEnterCriticalSection
0x0019e4c6	DSOUND__IDirectSound_AddRef
0x0019e4dc	DSOUND__IDirectSound_Release
0x0019e4f2	DSOUND__IDirectSoundBuffer_Unlock
0x0019e4f7	DSOUND__IDirectSoundBuffer_AddRef
0x0019e50d	DSOUND__IDirectSoundBuffer_Release
0x0019e542	DSOUND__XAudioCalculatePitch
0x0019e64d	DSOUND__CDirectSound_GetCaps
0x0019e6bd	DSOUND__CDirectSound_GetSpeakerConfig
0x0019e6d7	DSOUND__CDirectSound_DownloadEffectsImage
0x0019e73b	DSOUND__CDirectSound_SetEffectData
0x0019e79d	DSOUND__CDirectSound_GetEffectData
0x0019e7fc	DSOUND__CDirectSound_DoWork
0x0019e8f4	DSOUND__CDirectSoundVoice_SetPitch
0x0019e90d	DSOUND__CDirectSoundVoice_SetVolume
0x0019e929	DSOUND__CDirectSoundVoice_SetLFO
0x0019e93c	DSOUND__CDirectSoundVoice_SetEG
0x0019e94f	DSOUND__CDirectSoundVoice_SetFilter
0x0019e962	DSOUND__CDirectSoundVoice_SetHeadroom
0x0019e985	DSOUND__CDirectSoundVoice_SetMixBins
0x0019e9a2	DSOUND__CDirectSoundVoice_CommitDeferredSettings
0x0019eb2d	DSOUND__CDirectSoundBuffer_Play
0x0019eb7e	DSOUND__CDirectSoundBuffer_Stop
0x0019ebcd	DSOUND__CDirectSoundBuffer_GetStatus
0x0019ec1e	DSOUND__CDirectSoundBuffer_SetLoopRegion
0x0019eca3	DSOUND__CDirectSoundBuffer_GetCurrentPosition
0x0019ecf8	DSOUND__CDirectSoundBuffer_Lock
0x0019edce	DSOUND__CDirectSoundBuffer_SetCurrentPosition
0x0019ee50	DSOUND__CDirectSoundBuffer_SetVolume
0x0019ee9e	DSOUND__CDirectSoundBuffer_SetLFO
0x0019eeec	DSOUND__CDirectSoundBuffer_SetEG
0x0019ef3a	DSOUND__CDirectSoundBuffer_SetFilter
0x0019ef88	DSOUND__CDirectSoundBuffer_SetHeadroom
0x0019efd6	DSOUND__CDirectSoundBuffer_SetMixBins
0x0019f024	DSOUND__IDirectSound_GetCaps
0x0019f040	DSOUND__IDirectSound_GetSpeakerConfig
0x0019f05c	DSOUND__IDirectSound_DownloadEffectsImage
0x0019f083	DSOUND__IDirectSound_GetEffectData
0x0019f0aa	DSOUND__IDirectSound_SetEffectData
0x0019f0d4	DSOUND__IDirectSoundBuffer_SetVolume
0x0019f0f0	DSOUND__IDirectSoundBuffer_SetLFO
0x0019f10c	DSOUND__IDirectSoundBuffer_SetEG
0x0019f128	DSOUND__IDirectSoundBuffer_SetFilter
0x0019f144	DSOUND__IDirectSoundBuffer_SetHeadroom
0x0019f160	DSOUND__IDirectSoundBuffer_SetMixBins
0x0019f17c	DSOUND__IDirectSoundBuffer_Play
0x0019f1a0	DSOUND__IDirectSoundBuffer_Stop
0x0019f1b8	DSOUND__IDirectSoundBuffer_SetLoopRegion
0x0019f1d8	DSOUND__IDirectSoundBuffer_GetStatus
0x0019f1f4	DSOUND__IDirectSoundBuffer_GetCurrentPosition
0x0019f214	DSOUND__IDirectSoundBuffer_SetCurrentPosition
0x0019f230	DSOUND__IDirectSoundBuffer_Lock
0x0019f260	DSOUND__DirectSoundDoWork
0x0019f2a4	DSOUND__CDirectSound_CommitDeferredSettings
0x0019f467	DSOUND__CDirectSoundVoice_SetFrequency
0x0019f48b	DSOUND__CDirectSoundVoice_SetAllParameters
0x0019f5c2	DSOUND__CDirectSoundVoice_SetConeAngles
0x0019f605	DSOUND__CDirectSoundVoice_SetConeOrientation
0x0019f657	DSOUND__CDirectSoundVoice_SetConeOutsideVolume
0x0019f68a	DSOUND__CDirectSoundVoice_SetMaxDistance
0x0019f6bd	DSOUND__CDirectSoundVoice_SetMinDistance
0x0019f6f0	DSOUND__CDirectSoundVoice_SetMode
0x0019f716	DSOUND__CDirectSoundVoice_SetPosition
0x0019f768	DSOUND__CDirectSoundVoice_SetVelocity
0x0019f7ba	DSOUND__CDirectSoundVoice_SetDistanceFactor
0x0019f7ed	DSOUND__CDirectSoundVoice_SetDopplerFactor
0x0019f820	DSOUND__CDirectSoundVoice_SetRolloffFactor
0x0019f853	DSOUND__CDirectSoundVoice_SetI3DL2Source
0x0019f959	DSOUND__CDirectSoundBuffer_SetFrequency
0x0019f9a7	DSOUND__CDirectSoundBuffer_SetAllParameters
0x0019f9f9	DSOUND__CDirectSoundBuffer_SetConeAngles
0x0019fa4f	DSOUND__CDirectSoundBuffer_SetConeOrientation
0x0019fab6	DSOUND__CDirectSoundBuffer_SetConeOutsideVolume
0x0019fb08	DSOUND__CDirectSoundBuffer_SetMaxDistance
0x0019fb5e	DSOUND__CDirectSoundBuffer_SetMinDistance
0x0019fbb4	DSOUND__CDirectSoundBuffer_SetMode
0x0019fc06	DSOUND__CDirectSoundBuffer_SetPosition
0x0019fc6d	DSOUND__CDirectSoundBuffer_SetVelocity
0x0019fcd4	DSOUND__CDirectSoundBuffer_SetDistanceFactor
0x0019fd2a	DSOUND__CDirectSoundBuffer_SetDopplerFactor
0x0019fd80	DSOUND__CDirectSoundBuffer_SetRolloffFactor
0x0019fdd6	DSOUND__CDirectSoundBuffer_SetI3DL2Source
0x0019fe28	DSOUND__IDirectSound_CommitDeferredSettings
0x0019fe40	DSOUND__IDirectSoundBuffer_SetFrequency
0x0019fe5c	DSOUND__IDirectSoundBuffer_SetAllParameters
0x0019fe7c	DSOUND__IDirectSoundBuffer_SetConeAngles
0x0019fea0	DSOUND__IDirectSoundBuffer_SetConeOrientation
0x0019fed5	DSOUND__IDirectSoundBuffer_SetConeOutsideVolume
0x0019fef5	DSOUND__IDirectSoundBuffer_SetMaxDistance
0x0019ff19	DSOUND__IDirectSoundBuffer_SetMinDistance
0x0019ff3d	DSOUND__IDirectSoundBuffer_SetMode
0x0019ff5d	DSOUND__IDirectSoundBuffer_SetPosition
0x0019ff92	DSOUND__IDirectSoundBuffer_SetVelocity
0x0019ffc7	DSOUND__IDirectSoundBuffer_SetDistanceFactor
0x0019ffeb	DSOUND__IDirectSoundBuffer_SetDopplerFactor
0x001a000f	DSOUND__IDirectSoundBuffer_SetRolloffFactor
0x001a0033	DSOUND__IDirectSoundBuffer_SetI3DL2Source
0x001a016e	DSOUND__CDirectSound_SetAllParameters
0x001a0254	DSOUND__CDirectSound_SetDistanceFactor
0x001a02b6	DSOUND__CDirectSound_SetDopplerFactor
